-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                 Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    Number of Calls
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------
to                                   0.07%            400.510us        0.08%            449.310us        8.023us          0.05%            441.266us        7.880us          56
empty                                0.09%            496.614us        0.09%            496.614us        8.868us          0.02%            188.397us        3.364us          56
forward                              1.97%            10.619ms         13.55%           73.008ms         73.008ms         11.18%           106.525ms        106.525ms        1
slice                                0.00%            24.857us         0.00%            24.857us         8.286us          0.00%            19.455us         6.485us          3
unsqueeze                            0.01%            35.703us         0.01%            35.703us         7.141us          0.00%            27.659us         5.532us          5
rsub                                 0.01%            61.293us         0.01%            61.293us         61.293us         0.01%            61.440us         61.440us         1
mul                                  1.58%            8.526ms          1.58%            8.526ms          46.089us         2.10%            20.040ms         108.322us        185
expand                               0.59%            3.184ms          0.59%            3.184ms          64.975us         0.02%            145.410us        2.968us          49
embedding                            0.03%            180.669us        0.03%            180.669us        60.223us         0.03%            248.832us        82.944us         3
add                                  0.58%            3.135ms          0.58%            3.135ms          28.246us         1.17%            11.168ms         100.609us        111
layer_norm                           0.09%            470.628us        2.87%            15.468ms         618.703us        0.49%            4.708ms          188.334us        25
contiguous                           0.56%            2.993ms          1.19%            6.401ms          40.515us         0.34%            3.279ms          20.752us         158
view                                 1.11%            5.993ms          1.11%            5.993ms          17.525us         0.11%            1.018ms          2.976us          342
batch_norm                           0.03%            171.731us        2.39%            12.882ms         515.285us        0.31%            2.976ms          119.030us        25
_batch_norm_impl_index               0.03%            162.166us        2.36%            12.710ms         508.416us        0.30%            2.825ms          113.009us        25
native_batch_norm                    2.33%            12.548ms         2.33%            12.548ms         501.929us        0.28%            2.680ms          107.192us        25
addcmul                              0.31%            1.686ms          0.31%            1.686ms          67.429us         0.11%            1.060ms          42.394us         25
dropout                              0.06%            303.471us        0.31%            1.654ms          44.705us         0.48%            4.551ms          122.990us        37
_fused_dropout                       0.25%            1.351ms          0.25%            1.351ms          36.503us         0.46%            4.339ms          117.262us        37
unsigned short                       4.29%            23.108ms         4.29%            23.108ms         63.138us         0.12%            1.098ms          3.000us          366
matmul                               1.64%            8.852ms          4.76%            25.659ms         264.529us        7.37%            70.207ms         723.778us        97
mm                                   1.99%            10.707ms         1.99%            10.707ms         48.889us         18.13%           172.769ms        788.900us        219
_unsafe_view                         0.23%            1.264ms          0.23%            1.264ms          8.720us          0.05%            434.089us        2.994us          145
add_                                 6.02%            32.423ms         6.02%            32.423ms         48.393us         1.41%            13.410ms         20.014us         670
permute                              0.81%            4.376ms          0.81%            4.376ms          45.588us         0.03%            281.524us        2.933us          96
transpose                            0.13%            720.799us        0.13%            720.799us        10.011us         0.02%            211.888us        2.943us          72
empty_like                           0.55%            2.961ms          0.63%            3.409ms          71.011us         0.04%            418.822us        8.725us          48
bmm                                  0.64%            3.461ms          0.64%            3.461ms          48.064us         2.22%            21.129ms         293.462us        72
div                                  1.22%            6.568ms          1.22%            6.568ms          131.368us        0.93%            8.836ms          176.724us        50
softmax                              0.02%            87.698us         0.06%            316.867us        26.406us         0.28%            2.670ms          222.464us        12
_softmax                             0.04%            229.169us        0.04%            229.169us        19.097us         0.27%            2.598ms          216.491us        12
erf                                  2.03%            10.950ms         2.03%            10.950ms         912.500us        0.19%            1.799ms          149.930us        12
select                               0.00%            7.271us          0.00%            7.271us          7.271us          0.00%            3.070us          3.070us          1
addmm                                0.06%            313.173us        0.06%            313.173us        313.173us        0.00%            23.555us         23.555us         1
tanh                                 0.00%            23.725us         0.00%            23.725us         23.725us         0.00%            6.141us          6.141us          1
split                                0.00%            24.464us         0.00%            24.464us         24.464us         0.00%            3.070us          3.070us          1
squeeze                              0.00%            12.425us         0.00%            12.425us         6.213us          0.00%            5.117us          2.559us          2
clamp_                               0.01%            46.871us         0.01%            46.871us         23.435us         0.00%            12.281us         6.141us          2
log_softmax                          0.00%            14.839us         0.02%            81.895us         40.948us         0.00%            45.047us         22.523us         2
_log_softmax                         0.01%            67.056us         0.01%            67.056us         33.528us         0.00%            20.492us         10.246us         2
nll_loss                             0.00%            13.495us         0.01%            73.645us         36.823us         0.00%            25.602us         12.801us         2
nll_loss_forward                     0.01%            60.150us         0.01%            60.150us         30.075us         0.00%            12.281us         6.141us          2
backward                             43.18%           232.680ms        43.18%           232.680ms        232.680ms        20.96%           199.783ms        199.783ms        1
torch::autograd::GraphRoot           0.00%            8.399us          0.00%            8.399us          8.399us          0.00%            3.078us          3.078us          1
DivBackward0                         0.04%            225.456us        1.04%            5.623ms          224.937us        0.48%            4.565ms          182.601us        25
AddBackward0                         0.16%            874.768us        0.16%            874.768us        7.055us          0.04%            367.727us        2.966us          124
NllLossBackward                      0.00%            18.916us         0.01%            73.124us         36.562us         0.00%            25.586us         12.793us         2
nll_loss_backward                    0.01%            54.208us         0.01%            54.208us         27.104us         0.00%            14.344us         7.172us          2
LogSoftmaxBackward                   0.01%            36.085us         0.01%            69.552us         34.776us         0.00%            26.625us         13.312us         2
_log_softmax_backward_data           0.01%            33.467us         0.01%            33.467us         16.734us         0.00%            14.328us         7.164us          2
SqueezeBackward1                     0.00%            11.301us         0.00%            26.174us         13.087us         0.00%            18.430us         9.215us          2
